attestation_form_type,text_score,points
management,"Всички цели са изпълнени, без никакви пропуски и в установените срокове, като са постигнати резултати на администрацията/звеното над планираните",30
management,"Всички цели са изпълнени, без никакви пропуски и в установените срокове",25
management,"Преобладаващата част от целите (80 – 90 на сто) са изпълнени, без пропуски, в установените срокове, а неизпълнението на останалите не зависи от оценявания",20
management,"Повечето от целите (над 50 на сто) са изпълнени, но с пропуски или неспазване на установени срокове.",15
management,"По-малко от половината цели (под 50 на сто) са изпълнени, със съществени пропуски и неспазване на установените срокове",10
general,"Съдебният/прокурорският помощник е изпълнил възложената работа, като подготвените актове и документи показват широки правни знания, а анализите на правната доктрина и съдебната практика демонстрират професионална експертиза",20
general,"Съдебният/прокурорският помощник е изпълнил възложената работа, като подготвените актове и документи отговарят на изискванията за качество, при спазване на определените срокове.",15
general,"Съдебният/прокурорският помощник е изпълнил възложената работа, но подготвените актове и документи съдържат пропуски в правните знания",10
experts,"Задълженията са изпълнени по отношение на обема, качеството и определените срокове на или над нивото на съответните изисквания, проявена е инициативност и е показано желание и възможности за справяне с по-трудни и отговорни задължения спрямо задълженията на заеманата длъжност",20
experts,"Задълженията са изпълнени по отношение на обема, качеството и определените срокове на нивото на съответните изисквания, а ако има пропуски в работата, те са несъществени",15
experts,"Задълженията не са изпълнени по отношение на обема, качеството и определените срокове на нивото на съответните изисквания или са допуснати съществени пропуски в работата",10
technical,"Задълженията са изпълнени над нивото на изискванията, изпълнени са по-трудни и отговорни задължения и поставените задачи са изпълнени качествено и в срок",20
technical,"Задълженията са изпълнени на нивото на изискванията и поставените задачи са изпълнени качествено и в срок, ако има пропуски те са несъществени",15
technical,Задълженията не са изпълнени на нивото на изискванията или са допускани съществени пропуски в работата си и поставените задачи са изпълнени некачествено,10