id,parent_id,name,status
1,0,Администрация на ВСС,1
2,1,"Сектор ""Връзки с обществеността"" към ВСС",1
3,1,"Звено ""Финансови контрольори""",1
4,1,"Звено ""Стенографи""",1
5,1,"Дирекция ""Бюджет и финанси""",1
6,5,"Отдел ""Бюджетно финансиране""",1
7,5,"Отдел ""Финансови разчети и анализи""",1
8,5,"Отдел ""Счетоводство и методология""",1
9,8,"Сектор ""Счетоводство на съдебната система""",1
10,8,"Сектор ""Счетоводство на ВСС и неговата администрация""",1
11,1,"Дирекция ""Управление на собствеността на съдебната власт""",1
12,11,"Отдел ""Управление на собствеността""",1
13,11,"Отдел ""Инвестиции и строителство""",1
14,1,"Дирекция ""Правна""",1
15,14,"Отдел ""Правно обслужване и нормативна дейност""",1
16,15,"Звено ""Процесуално представителство и нормативна дейност""",1
17,15,"Звено ""Юридическо подпомагане дейността на комисиите на ВСС""",1
18,14,"Отдел ""Обществени поръчки""",1
19,14,"Отдел ""Дисциплинарни производства""",1
20,1,"Дирекция ""Информационни технологии и съдебна статистика""",1
21,20,"Отдел ""Информационно обслужване""",1
22,20,"Отдел ""Статистически анализ и обработка на данни""",1
23,20,"Отдел ""Съдебна карта и съдебна медиация""",1
24,20,"Отдел ""Единна информационна система на съдилищата""",1
25,1,"Дирекция ""Конкурси на магистрати""",1
26,25,"Отдел ""Конкурси на съдии""",1
27,25,"Отдел ""Конкурси на прокурори и следователи""",1
28,1,"Дирекция ""Атестиране на магистрати""",1
29,28,"Отдел ""Атестиране на съдии""",1
30,28,"Отдел ""Атестиране на прокурори и следователи""",1
31,1,"Дирекция ""Международна дейност и протокол""",1
32,1,"Дирекция ""Човешки ресурси, административно и техническо обслужване и класифицирана информация""",1
33,32,"Отдел ""Човешки ресурси, aдминистративно обслужване и класифицирана информация""",1
34,32,"Отдел ""Транспортно обслужване, материално-техническо снабдяване и поддръжка""",1