attestation_form_type,type,text_score,from_points,to_points
management,"Оценка 1",Оценка 1 ""Изключително изпълнение""",46,50
management,"Оценка 2","Оценка 2 ""Изпълнението надвишава изискванията""",41,45
management,"Оценка 3","Оценка 3 ""Изпълнението напълно отговаря на изискванията""",36,40
management,"Оценка 4","Оценка 4 ""Изпълнението не отговаря напълно на изискванията""",31,35
management,"Оценка 5","Оценка 5 ""Неприемливо изпълнение""",0,30
general,"Оценка 1","Оценка 1 ""Изключително изпълнение""",36,40
general,"Оценка 2","Оценка 2 ""Изпълнението надвишава изискванията""",30,35
general,"Оценка 3","Оценка 3 ""Изпълнението напълно отговаря на изискванията""",25,29
general,"Оценка 4","Оценка 4 ""Изпълнението не отговаря напълно на изискванията""",20,24
general,"Оценка 5","Оценка 5 ""Неприемливо изпълнение""",0,19
experts,"Оценка 1","Оценка 1 ""Изключително изпълнение""",36,40
experts,"Оценка 2","Оценка 2 ""Изпълнението надвишава изискванията""",30,35
experts,"Оценка 3","Оценка 3 ""Изпълнението напълно отговаря на изискванията""",25,29
experts,"Оценка 4","Оценка 4 ""Изпълнението не отговаря напълно на изискванията""",20,24
experts,"Оценка 5","Оценка 5 ""Неприемливо изпълнение""",0,19
technical,"Оценка 1","Оценка 1 ""Изключително изпълнение""",26,30
technical,"Оценка 2","Оценка 2 ""Изпълнението надвишава изискванията""",20,25
technical,"Оценка 3","Оценка 3 ""Изпълнението напълно отговаря на изискванията""",15,19
technical,"Оценка 4","Оценка 4 ""Изпълнението не отговаря напълно на изискванията""",10,14
technical,"Оценка 5","Оценка 5 ""Неприемливо изпълнение""",0,9